"filename", "language", "C", "C++", "Makefile", "nasm", "Infrastructure-As-Code", "comment", "blank", "total"
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\Makefile", "Makefile", 0, 0, 128, 0, 0, 10, 48, 186
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\asmhead.nas", "nasm", 0, 0, 0, 97, 0, 19, 31, 147
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.c", "C", 74, 0, 0, 0, 0, 28, 15, 117
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.h", "C++", 0, 212, 0, 0, 0, 34, 33, 279
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\dsctbl.c", "C", 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\fifo.c", "C", 44, 0, 0, 0, 0, 1, 8, 53
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\graphic.c", "C", 48, 0, 0, 0, 0, 31, 5, 84
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\interupt.c", "C", 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\io.c", "C", 75, 0, 0, 0, 0, 1, 13, 89
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\ipl10.nas", "nasm", 0, 0, 0, 86, 0, 6, 14, 106
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\make.bat", "Infrastructure-As-Code", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\memory.c", "C", 290, 0, 0, 0, 0, 145, 89, 524
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\naskfunc.nas", "nasm", 0, 0, 0, 159, 0, 2, 24, 185
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\sheet.c", "C", 474, 0, 0, 0, 0, 52, 89, 615
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\test.cpp", "C++", 0, 33, 0, 0, 0, 18, 6, 57
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\utils.c", "C", 175, 0, 0, 0, 0, 15, 13, 203
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\window.c", "C", 87, 0, 0, 0, 0, 22, 24, 133
"Total", "-", 1350, 245, 128, 342, 1, 384, 426, 2876
