"filename", "language", "C++", "nasm", "C", "Makefile", "Infrastructure-As-Code", "comment", "blank", "total"
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-06-02_22-03-45\details.md", "Infrastructure-As-Code", 0, 0, 0, 0, 26, 0, 6, 32
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-06-02_22-03-45\results.md", "Infrastructure-As-Code", 0, 0, 0, 0, 18, 0, 7, 25
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\Makefile", "Makefile", 0, 0, 0, 128, 0, 10, 48, 186
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\action.c", "C", 0, 0, 217, 0, 0, 1, 43, 261
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\action.h", "C++", 42, 0, 0, 0, 0, 0, 6, 48
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\asmhead.nas", "nasm", 0, 97, 0, 0, 0, 19, 31, 147
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.c", "C", 0, 0, 154, 0, 0, 75, 45, 274
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.h", "C++", 23, 0, 0, 0, 0, 1, 5, 29
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\color.h", "C++", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\common.h", "C++", 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\dsctbl.c", "C", 0, 0, 48, 0, 0, 0, 9, 57
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\dsctbl.h", "C++", 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\fifo.c", "C", 0, 0, 66, 0, 0, 2, 13, 81
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\fifo.h", "C++", 34, 0, 0, 0, 0, 3, 8, 45
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\graphic.c", "C", 0, 0, 129, 0, 0, 33, 13, 175
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\graphic.h", "C++", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\interupt.c", "C", 0, 0, 50, 0, 0, 0, 7, 57
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\interupt.h", "C++", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\io.c", "C", 0, 0, 76, 0, 0, 1, 15, 92
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\io.h", "C++", 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\ipl10.nas", "nasm", 0, 86, 0, 0, 0, 6, 14, 106
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\make.bat", "Infrastructure-As-Code", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\memory.c", "C", 0, 0, 288, 0, 0, 145, 89, 522
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\memory.h", "C++", 35, 0, 0, 0, 0, 0, 6, 41
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\nas.h", "C++", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\naskfunc.nas", "nasm", 0, 182, 0, 0, 0, 2, 26, 210
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\sheet.c", "C", 0, 0, 554, 0, 0, 47, 98, 699
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\sheet.h", "C++", 65, 0, 0, 0, 0, 8, 14, 87
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\task.c", "C", 0, 0, 190, 0, 0, 33, 33, 256
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\task.h", "C++", 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\test.cpp", "C++", 33, 0, 0, 0, 0, 18, 6, 57
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\timer.c", "C", 0, 0, 117, 0, 0, 5, 24, 146
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\timer.h", "C++", 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\utils.c", "C", 0, 0, 186, 0, 0, 15, 14, 215
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\utils.h", "C++", 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\widget.c", "C", 0, 0, 25, 0, 0, 0, 6, 31
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\widget.h", "C++", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\window.c", "C", 0, 0, 160, 0, 0, 36, 47, 243
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\window.h", "C++", 36, 0, 0, 0, 0, 0, 5, 41
"Total", "-", 515, 365, 2260, 128, 45, 460, 669, 4442
