"filename", "language", "Makefile", "C", "nasm", "C++", "Infrastructure-As-Code", "comment", "blank", "total"
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-06-02_22-03-45\details.md", "Infrastructure-As-Code", 0, 0, 0, 0, 26, 0, 6, 32
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-06-02_22-03-45\results.md", "Infrastructure-As-Code", 0, 0, 0, 0, 18, 0, 7, 25
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-07-01_21-06-36\details.md", "Infrastructure-As-Code", 0, 0, 0, 0, 48, 0, 6, 54
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-07-01_21-06-36\results.md", "Infrastructure-As-Code", 0, 0, 0, 0, 20, 0, 7, 27
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\Makefile", "Makefile", 128, 0, 0, 0, 0, 10, 48, 186
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\action.c", "C", 0, 252, 0, 0, 0, 20, 49, 321
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\action.h", "C++", 0, 0, 0, 46, 0, 0, 9, 55
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_calc.c", "C", 0, 197, 0, 0, 0, 7, 49, 253
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_calc.h", "C++", 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\asmhead.nas", "nasm", 0, 0, 97, 0, 0, 19, 31, 147
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.c", "C", 0, 134, 0, 0, 0, 39, 34, 207
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.h", "C++", 0, 0, 0, 23, 0, 0, 5, 28
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\color.h", "C++", 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\common.h", "C++", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\dsctbl.c", "C", 0, 48, 0, 0, 0, 0, 9, 57
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\dsctbl.h", "C++", 0, 0, 0, 30, 0, 0, 3, 33
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\fifo.c", "C", 0, 66, 0, 0, 0, 2, 13, 81
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\fifo.h", "C++", 0, 0, 0, 34, 0, 3, 8, 45
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\graphic.c", "C", 0, 170, 0, 0, 0, 33, 16, 219
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\graphic.h", "C++", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\interupt.c", "C", 0, 52, 0, 0, 0, 3, 8, 63
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\interupt.h", "C++", 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\io.c", "C", 0, 136, 0, 0, 0, 7, 22, 165
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\io.h", "C++", 0, 0, 0, 60, 0, 0, 9, 69
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\ipl10.nas", "nasm", 0, 0, 86, 0, 0, 6, 14, 106
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\make.bat", "Infrastructure-As-Code", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\memory.c", "C", 0, 288, 0, 0, 0, 145, 89, 522
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\memory.h", "C++", 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\nas.h", "C++", 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\naskfunc.nas", "nasm", 0, 0, 182, 0, 0, 2, 26, 210
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\sheet.c", "C", 0, 611, 0, 0, 0, 51, 111, 773
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\sheet.h", "C++", 0, 0, 0, 69, 0, 9, 15, 93
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\task.c", "C", 0, 190, 0, 0, 0, 33, 33, 256
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\task.h", "C++", 0, 0, 0, 47, 0, 0, 8, 55
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\test.cpp", "C++", 0, 0, 0, 33, 0, 18, 6, 57
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\timer.c", "C", 0, 117, 0, 0, 0, 5, 24, 146
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\timer.h", "C++", 0, 0, 0, 34, 0, 0, 3, 37
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\utils.c", "C", 0, 205, 0, 0, 0, 15, 19, 239
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\utils.h", "C++", 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\widget.c", "C", 0, 185, 0, 0, 0, 20, 42, 247
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\widget.h", "C++", 0, 0, 0, 38, 0, 0, 7, 45
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\window.c", "C", 0, 258, 0, 0, 0, 45, 63, 366
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\window.h", "C++", 0, 0, 0, 57, 0, 0, 8, 65
"Total", "-", 128, 2909, 365, 628, 113, 492, 828, 5463
