"filename", "language", "C", "C++", "nasm", "Makefile", "Infrastructure-As-Code", "comment", "blank", "total"
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-06-02_22-03-45\details.md", "Infrastructure-As-Code", 0, 0, 0, 0, 26, 0, 6, 32
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-06-02_22-03-45\results.md", "Infrastructure-As-Code", 0, 0, 0, 0, 18, 0, 7, 25
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-07-01_21-06-36\details.md", "Infrastructure-As-Code", 0, 0, 0, 0, 48, 0, 6, 54
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-07-01_21-06-36\results.md", "Infrastructure-As-Code", 0, 0, 0, 0, 20, 0, 7, 27
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-07-03_22-09-00\details.md", "Infrastructure-As-Code", 0, 0, 0, 0, 52, 0, 6, 58
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\.VSCodeCounter\2021-07-03_22-09-00\results.md", "Infrastructure-As-Code", 0, 0, 0, 0, 21, 0, 7, 28
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\Makefile", "Makefile", 0, 0, 0, 129, 0, 10, 48, 187
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\action.c", "C", 252, 0, 0, 0, 0, 20, 49, 321
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\action.h", "C++", 0, 46, 0, 0, 0, 0, 9, 55
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_calc.c", "C", 301, 0, 0, 0, 0, 13, 56, 370
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_calc.h", "C++", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_taskManager.c", "C", 20, 0, 0, 0, 0, 1, 6, 27
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_taskManager.h", "C++", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_test.c", "C", 15, 0, 0, 0, 0, 3, 5, 23
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\app_test.h", "C++", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\asmhead.nas", "nasm", 0, 0, 97, 0, 0, 19, 31, 147
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.c", "C", 131, 0, 0, 0, 0, 64, 32, 227
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\bootpack.h", "C++", 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\color.h", "C++", 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\common.h", "C++", 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\dsctbl.c", "C", 48, 0, 0, 0, 0, 0, 9, 57
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\dsctbl.h", "C++", 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\fifo.c", "C", 66, 0, 0, 0, 0, 2, 13, 81
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\fifo.h", "C++", 0, 34, 0, 0, 0, 3, 8, 45
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\graphic.c", "C", 266, 0, 0, 0, 0, 33, 22, 321
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\graphic.h", "C++", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\interupt.c", "C", 52, 0, 0, 0, 0, 3, 8, 63
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\interupt.h", "C++", 0, 25, 0, 0, 0, 0, 3, 28
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\io.c", "C", 139, 0, 0, 0, 0, 7, 22, 168
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\io.h", "C++", 0, 60, 0, 0, 0, 0, 9, 69
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\ipl10.nas", "nasm", 0, 0, 86, 0, 0, 6, 14, 106
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\make.bat", "Infrastructure-As-Code", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\memory.c", "C", 287, 0, 0, 0, 0, 175, 93, 555
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\memory.h", "C++", 0, 36, 0, 0, 0, 0, 6, 42
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\nas.h", "C++", 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\naskfunc.nas", "nasm", 0, 0, 182, 0, 0, 2, 26, 210
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\sheet.c", "C", 617, 0, 0, 0, 0, 56, 112, 785
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\sheet.h", "C++", 0, 69, 0, 0, 0, 9, 15, 93
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\task.c", "C", 190, 0, 0, 0, 0, 34, 33, 257
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\task.h", "C++", 0, 47, 0, 0, 0, 0, 8, 55
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\test.cpp", "C++", 0, 0, 0, 0, 0, 438, 90, 528
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\timer.c", "C", 125, 0, 0, 0, 0, 11, 26, 162
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\timer.h", "C++", 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\utils.c", "C", 211, 0, 0, 0, 0, 15, 20, 246
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\utils.h", "C++", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\widget.c", "C", 402, 0, 0, 0, 0, 94, 105, 601
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\widget.h", "C++", 0, 68, 0, 0, 0, 0, 14, 82
"c:\Users\chene\OneDrive\桌面\30天自制操作系统\tolset\test\window.c", "C", 326, 0, 0, 0, 0, 40, 78, 444
